Designator,"Mid X" ,"Mid Y",Layer,Rotation
"C1",107.750000 ,-133.000000,Top,90.000000
"C2",125.750000 ,-133.000000,Top,90.000000
"C3",146.750000 ,-133.000000,Top,90.000000
"C4",166.750000 ,-133.000000,Top,90.000000
"C5",141.560000 ,-113.500000,Top,90.000000
"C6",149.180000 ,-92.500000,Top,270.000000
"C7",106.000000 ,-124.750000,Top,270.000000
"C8",181.120000 ,-62.000000,Top,90.000000
"C9",182.620000 ,-62.000000,Top,90.000000
"C10",182.500000 ,-59.500000,Top,180.000000
"C11",175.650000 ,-74.000000,Top,180.000000
"C12",173.000000 ,-71.250000,Top,180.000000
"C13",184.000000 ,-74.230000,Top,270.000000
"C14",192.700000 ,-82.000000,Top,270.000000
"C15",111.250000 ,-65.500000,Top,0.000000
"C16",100.000000 ,-100.000000,Top,90.000000
"D1",100.000000 ,-60.000000,Top,0.000000
"GRAPHIC1",152.200000 ,-75.000000,Top,0.000000
"IC1",109.000000 ,-140.000000,Top,270.000000
"IC2",127.000000 ,-140.000000,Top,270.000000
"IC3",148.000000 ,-140.000000,Top,270.000000
"IC4",168.000000 ,-140.000000,Top,270.000000
"J2",189.800000 ,-70.000000,Top,90.000000
"J3",107.000000 ,-65.500000,Top,0.000000
"JAB1",106.000000 ,-120.000000,Top,90.000000
"JCD1",106.000000 ,-88.250000,Top,90.000000
"R1",181.280000 ,-144.000000,Top,270.000000
"R2",103.500000 ,-60.000000,Top,180.000000
"R3",191.237500 ,-59.000000,Top,180.000000
"R4",174.760000 ,-133.000000,Top,180.000000
"U1",179.000000 ,-68.325000,Top,0.000000
