Comment,Designator,Footprint
0402WGF0000TCE,R1,Resistor_SMD:R_0402_1005Metric
0402WGF1002TCE,R4,Resistor_SMD:R_0402_1005Metric
0402WGF6800TCE,R2,Resistor_SMD:R_0402_1005Metric
10029449-111RLF,J2,For_SeeedStudio:HDMI_A_Amphenol_10029449-111
77313-824-64LF,"JAB1,JCD1",For_SeeedStudio:PinHeader_2x32_P2.54mm_Vertical_For_SeeedStudio
C0805X103K501T,C14,Capacitor_SMD:C_0805_2012Metric
CL05B103KB5NNNC,C9,Capacitor_SMD:C_0402_1005Metric
CL05B104KO5NNNC,"C1,C2,C3,C4,C5,C6,C8,C11,C12,C13,C15",Capacitor_SMD:C_0402_1005Metric
CL31A476MPHNNNE,"C7,C10,C16",Capacitor_SMD:C_1206_3216Metric
DW254W-22-12-85,J3,Connector_PinSocket_2.54mm:PinSocket_2x06_P2.54mm_Horizontal
HR1206J1M00P05Z,R3,Resistor_SMD:R_1206_3216Metric
KT-0603R,D1,LED_SMD:LED_0603_1608Metric
SN74CB3T16211DGGR,"IC1,IC2,IC3,IC4",SOP50P810X120-56N
TPD12S016PWR,U1,For_SeeedStudio:SOP65P640X120-24N
